Слово	№	Значения	Пара контекстов
замок	1	1.1	Он стоял на крепостной стене королевского замка и кричал.
		1.2	В классах Михайловского замка , где помещалось училище , он положительно воздействовал на
	2	1.1	Он стоял на крепостной стене королевского замка и кричал.
		1.3	Покровский храм в Бутырском тюремном замке построен в 1782 году архитектором Михаилом Казаковым.
	3	2.1	В этот момент щелкнул замок и дверь чуть приоткрылась.
		1.1	Он стоял на крепостной стене королевского замка и кричал.
	4	2.1	В этот момент щелкнул замок и дверь чуть приоткрылась.
		2.2	с эволюцией огнестрельного оружия , прежде всего ружейных замков — механизмов для поджигания заряда .
лук	1	1.1	Кто сможет выстрелить из заколдованного лука , тот будет избранником .
		2.1	пахнущую зелень — и петрушку , и укроп , и лук , невольно представляешь себе дымящийся шашлык …
атлас	1	1.1	я сидел у себя в кабинете над атласом по топографической анатомии .
		2.1	Точно из красного атласа и вышиты белым бисером .
граф	1	1.1	любопытная пара — бывший венгерский посол в Польше граф Замойский с женой .
		2.1	ТРКМ в СДО ГИПЕРТЕСТ представлен ориентированным сетевым графом ( Q , A ) , где Q — множество вопросов , сопоставленных
лавка	1	1.1	Все рассаживались по лавкам , и девушки заводили обрядовые прощальные песни , под
		2.1	Мечтательная владелица бакалейной лавки , красавица и брошенная жена Тойбеле не может
мина	1	1.1	- то и ставил крест Андрей Николаевич , подкладывая мину замедленного действия .
		1.2	артиллерийские выстрелы ( САВ ) — артиллерийские снаряды и минометные мины ; ЯБП РВСН — боевые части и боевые блоки
	2	1.1	- то и ставил крест Андрей Николаевич , подкладывая мину замедленного действия .
		1.3	- японской войны в Порт - Артуре на японской мине подорвался броненосец « Петропавловск » , погибли около 700 моряков
	3	1.2	артиллерийские выстрелы ( САВ ) — артиллерийские снаряды и минометные мины ; ЯБП РВСН — боевые части и боевые блоки
		2.1	Лакей сделал презрительную мину , слыша такое скромное обещание , однако уверил Максима
хлопок	1	1.1	академии сельскохозяйственных наук разработан устойчивый к вредителям хлопок ; в Хуачжунском сельскохозяйственном университете сделали устойчивым рис
		1.2	в ценовых ножницах , потому что цены на хлопок растут пропорционально росту курса доллара , издержки у
	2	1.1	академии сельскохозяйственных наук разработан устойчивый к вредителям хлопок ; в Хуачжунском сельскохозяйственном университете сделали устойчивым рис
		1.3	доверяла стиральной машине . Та рвет вещи , истрепывает хлопок , шелк . Потом она точно так же стирала
	3	1.2	в ценовых ножницах , потому что цены на хлопок растут пропорционально росту курса доллара , издержки у
		2.1	лежит , слышит , как разговаривают люди , раздаются глухие хлопки топора и редкий пронзительный треск сучьев , — эт
	4	2.1	лежит , слышит , как разговаривают люди , раздаются глухие хлопки топора и редкий пронзительный треск сучьев , — эт
